Truck ID,Ground-truth Volume (m3),Estimated Volume by Proposed Method (m3),Volume Error (%),Ground-truth Cycle Time (s),Estimated Cycle Time by Proposed Method (s),Cycle Time Error (%)
??06?2402,12.672,12.119,-4.36,2099.95,2134.18,1.63
??06?3169,15.249,14.653,-3.91,2348.17,2310.13,-1.62
??06?8328,18.48,17.726,-4.08,2253.94,2216.75,-1.65
??06?8801,20.604,19.742,-4.18,2196.5,2177.83,-0.85
??06?1977,22.5,21.479,-4.54,2005.81,2048.33,2.12
??06?4549,14.062,13.424,-4.54,2005.8,2048.12,2.11
??06?8386,17.449,16.644,-4.61,1963.62,2004.86,2.1
??06?9407,20.604,19.785,-3.97,2311.75,2274.3,-1.62
??06?2937,12.672,12.142,-4.18,2197.56,2178.22,-0.88
??06?4174,15.249,14.624,-4.1,2243.64,2207.52,-1.61
??06?5383,18.48,17.622,-4.64,1947.47,1988.76,2.12
??06?6416,20.604,19.8,-3.9,2356.44,2318.03,-1.63
??06?5249,22.5,21.6,-4,2297.22,2259.55,-1.64
??06?7878,14.062,13.43,-4.49,2030.08,2072.51,2.09
??06?7667,17.449,16.661,-4.52,2016.93,2059.89,2.13
??06?9052,20.604,19.674,-4.51,2017.61,2060.38,2.12
??06?1339,12.672,12.112,-4.42,2069.67,2113.13,2.1
??06?3465,15.249,14.602,-4.24,2164.67,2164.02,-0.03
??06?6790,18.48,17.682,-4.32,2124.68,2145.71,0.99
??06?2582,20.604,19.691,-4.43,2064.06,2107.41,2.1
??06?6566,22.5,21.561,-4.17,2202.19,2180.17,-1
??06?7124,14.062,13.422,-4.55,1998.69,2040.66,2.1
??06?1447,17.449,16.676,-4.43,2064.46,2107.81,2.1
??06?2283,20.604,19.704,-4.37,2096.43,2132.49,1.72
??06?8564,12.672,12.127,-4.3,2135.07,2150.66,0.73
??06?9767,15.249,14.633,-4.04,2276.85,2239.74,-1.63
??06?2694,18.48,17.648,-4.5,2024.62,2067.34,2.11
??06?4263,20.604,19.728,-4.25,2160.13,2161.86,0.08
??06?4724,22.5,21.557,-4.19,2193.81,2176.7,-0.78
??06?3063,14.062,13.412,-4.62,1958.61,1999.74,2.1
??06?6901,17.449,16.72,-4.18,2200.33,2179.43,-0.95
??06?6872,20.604,19.672,-4.52,2012.06,2054.51,2.11
??06?9414,12.672,12.088,-4.61,1966.62,2007.92,2.1
??06?6098,15.249,14.653,-3.91,2347.38,2309.35,-1.62
??06?3788,18.48,17.759,-3.9,2354.59,2316.45,-1.62
